STATE/UT,CRIME HEAD,2013
Andhra Pradesh,Arson,1
Arunachal Pradesh,Arson,0
Assam,Arson,0
Bihar,Arson,0
Chhattisgarh,Arson,1
Goa,Arson,0
Gujarat,Arson,1
Haryana,Arson,0
Himachal Pradesh,Arson,0
Jammu & Kashmir,Arson,0
Jharkhand,Arson,1
Karnataka,Arson,0
Kerala,Arson,0
Madhya Pradesh,Arson,5
Maharashtra,Arson,5
Manipur,Arson,0
Meghalaya,Arson,0
Mizoram,Arson,0
Nagaland,Arson,0
Odisha,Arson,5
Punjab,Arson,0
Rajasthan,Arson,6
Sikkim,Arson,8
Tamil Nadu,Arson,0
Tripura,Arson,0
Uttar Pradesh,Arson,0
Uttarakhand,Arson,0
West Bengal,Arson,0
Total (State),Arson,33
A&N Islands,Arson,0
Chandigarh,Arson,0
D&N Haveli,Arson,0
Daman & Diu,Arson,0
Delhi UT,Arson,0
Lakshadweep,Arson,0
Puducherry,Arson,0
Total (UTs),Arson,0
Total (All-India),Arson,33
Andhra Pradesh,Dacoity,0
Arunachal Pradesh,Dacoity,0
Assam,Dacoity,0
Bihar,Dacoity,0
Chhattisgarh,Dacoity,0
Goa,Dacoity,0
Gujarat,Dacoity,1
Haryana,Dacoity,0
Himachal Pradesh,Dacoity,0
Jammu & Kashmir,Dacoity,0
Jharkhand,Dacoity,0
Karnataka,Dacoity,0
Kerala,Dacoity,0
Madhya Pradesh,Dacoity,0
Maharashtra,Dacoity,6
Manipur,Dacoity,0
Meghalaya,Dacoity,0
Mizoram,Dacoity,0
Nagaland,Dacoity,0
Odisha,Dacoity,1
Punjab,Dacoity,0
Rajasthan,Dacoity,0
Sikkim,Dacoity,0
Tamil Nadu,Dacoity,0
Tripura,Dacoity,0
Uttar Pradesh,Dacoity,0
Uttarakhand,Dacoity,0
West Bengal,Dacoity,0
Total (State),Dacoity,8
A&N Islands,Dacoity,0
Chandigarh,Dacoity,0
D&N Haveli,Dacoity,0
Daman & Diu,Dacoity,0
Delhi UT,Dacoity,0
Lakshadweep,Dacoity,0
Puducherry,Dacoity,0
Total (UTs),Dacoity,0
Total (All-India),Dacoity,8
Andhra Pradesh,Hurt,82
Arunachal Pradesh,Hurt,0
Assam,Hurt,0
Bihar,Hurt,15
Chhattisgarh,Hurt,68
Goa,Hurt,0
Gujarat,Hurt,36
Haryana,Hurt,0
Himachal Pradesh,Hurt,0
Jammu & Kashmir,Hurt,0
Jharkhand,Hurt,71
Karnataka,Hurt,45
Kerala,Hurt,31
Madhya Pradesh,Hurt,204
Maharashtra,Hurt,29
Manipur,Hurt,0
Meghalaya,Hurt,0
Mizoram,Hurt,0
Nagaland,Hurt,2
Odisha,Hurt,196
Punjab,Hurt,0
Rajasthan,Hurt,120
Sikkim,Hurt,9
Tamil Nadu,Hurt,11
Tripura,Hurt,7
Uttar Pradesh,Hurt,0
Uttarakhand,Hurt,1
West Bengal,Hurt,3
Total (State),Hurt,930
A&N Islands,Hurt,0
Chandigarh,Hurt,0
D&N Haveli,Hurt,0
Daman & Diu,Hurt,0
Delhi UT,Hurt,0
Lakshadweep,Hurt,0
Puducherry,Hurt,0
Total (UTs),Hurt,0
Total (All-India),Hurt,930
Andhra Pradesh,Kidnapping & Abduction,2
Arunachal Pradesh,Kidnapping & Abduction,0
Assam,Kidnapping & Abduction,0
Bihar,Kidnapping & Abduction,1
Chhattisgarh,Kidnapping & Abduction,5
Goa,Kidnapping & Abduction,0
Gujarat,Kidnapping & Abduction,22
Haryana,Kidnapping & Abduction,0
